UniProtID	Accessions	kinase	networkin_id	psp_id	netphorest_group	ECs	gene_names	Descriptions
BLK_HUMAN	P51451	BLK	BLK	BLK	Src_group	2.7.10.2	BLK	2.7.10.2;Tyrosine-protein kinase Blk;B lymphocyte kinase;p55-Blk
BMP2K_HUMAN	Q9NSY1	BIKE (PSP)		BIKE		2.7.11.1	BMP2K;BIKE;HRIHFB2017	2.7.11.1;BMP-2-inducible protein kinase;BIKe
BMR1B_HUMAN	O00238	BMPR1B	BMPR1B	BMPR1B		2.7.11.30	BMPR1B	2.7.11.30;Bone morphogenetic protein receptor type-1B;BMP type-1B receptor;BMPR-1B;CDw293
BMX_HUMAN	P51813	BMX	BMX	Etk	Tec_group	2.7.10.2	BMX	EC 2.7.10.2;ETK;Cytoplasmic tyrosine-protein kinase BMX;Bone marrow tyrosine kinase gene in chromosome X protein;Epithelial and endothelial tyrosine kinase;NTK38
BRAF_HUMAN	P15056	BRAF (PSP)		BRAF		2.7.11.1	BRAF;BRAF1;RAFB1	2.7.11.1;p94;Serine/threonine-protein kinase B-raf;Proto-oncogene B-Raf;v-Raf murine sarcoma viral oncogene homolog B1
BRD4_HUMAN	O60885	BRD4 (PSP)		BRD4			BRD4;HUNK1	Bromodomain-containing protein 4;Protein HUNK1;Isoform B of Bromodomain-containing protein 4
BRSK1	Q8TDC3-2	BRSK1 iso2 (PSP)		BRSK1 iso2			BRSK1;KIAA1811;SAD1;SADB	EC 2.7.11.1;EC 2.7.11.26;Brain-selective kinase 1;Brain-specific serine/threonine-protein kinase 1;BR serine/threonine-protein kinase 1;Serine/threonine-protein kinase SAD-B;Synapses of Amphids Defective homolog 1;SAD1 homolog;hSAD1;Isoform 2 of Serine/threonine-protein kinase BRSK1
BRSK1_HUMAN	Q8TDC3	BRSK1	BRSK1	BRSK1		2.7.11.1;2.7.11.26	BRSK1;KIAA1811;SAD1;SADB	EC 2.7.11.1;EC 2.7.11.26;Serine/threonine-protein kinase BRSK1;Brain-selective kinase 1;Brain-specific serine/threonine-protein kinase 1;BR serine/threonine-protein kinase 1;Serine/threonine-protein kinase SAD-B;Synapses of Amphids Defective homolog 1;SAD1 homolog;hSAD1;Isoform 3 of Serine/threonine-protein kinase BRSK1
BRSK2_HUMAN	Q8IWQ3	BRSK2 (PSP)		BRSK2		2.7.11.1;2.7.11.26	BRSK2;C11orf7;HUSSY-12	EC 2.7.11.1;EC 2.7.11.26;Serine/threonine-protein kinase BRSK2;Brain-selective kinase 2;Brain-specific serine/threonine-protein kinase 2;BR serine/threonine-protein kinase 2;Serine/threonine-protein kinase 29;Serine/threonine-protein kinase SAD-A;Isoform 6 of Serine/threonine-protein kinase BRSK2
BTK_HUMAN	Q06187	BTK	BTK	Btk	Tec_group	2.7.10.2	BTK;AGMX1;ATK;BPK	EC 2.7.10.2;ATK;BPK;Tyrosine-protein kinase BTK;Agammaglobulinemia tyrosine kinase;B-cell progenitor kinase;Bruton tyrosine kinase;Isoform BTK-C of Tyrosine-protein kinase BTK
BUB1_HUMAN	O43683	BUB1 (PSP)		BUB1		2.7.11.1	BUB1;BUB1L	EC 2.7.11.1;Mitotic checkpoint serine/threonine-protein kinase BUB1;hBUB1;BUB1A
CD11A	Q9UQ88-10	CDK11A iso10 (PSP)		CDK11A iso10			CDK11A;CDC2L2;CDC2L3;PITSLREB	EC 2.7.11.22;Galactosyltransferase-associated protein kinase p58/GTA;Cell division cycle 2-like protein kinase 2;Cell division protein kinase 11A;PITSLRE serine/threonine-protein kinase CDC2L2;Isoform SV1 of Cyclin-dependent kinase 11A;Isoform SV2 of Cyclin-dependent kinase 11A;Isoform SV3 of Cyclin-dependent kinase 11A;Isoform SV7 of Cyclin-dependent kinase 11A;Isoform SV12 of Cyclin-dependent kinase 11A;Isoform 4 of Cyclin-dependent kinase 11A
CD11A_HUMAN	Q9UQ88	CDK11A (PSP)		CDK11A		2.7.11.22	CDK11A;CDC2L2;CDC2L3;PITSLREB	EC 2.7.11.22;Galactosyltransferase-associated protein kinase p58/GTA;Cyclin-dependent kinase 11A;Cell division cycle 2-like protein kinase 2;Cell division protein kinase 11A;PITSLRE serine/threonine-protein kinase CDC2L2;Isoform SV13 of Cyclin-dependent kinase 11A
CD11B_HUMAN	P21127	CLK1	CLK1	CDK11B	CLK_group	2.7.11.22	CDK11;CDK11B;CDC2L1;PITSLREA;PK58	EC 2.7.11.22;Cyclin-dependent kinase 11B;Cell division cycle 2-like protein kinase 1;CLK-1;Cell division protein kinase 11B;Galactosyltransferase-associated protein kinase p58/GTA;PITSLRE serine/threonine-protein kinase CDC2L1;p58 CLK-1;Isoform 8 of Cyclin-dependent kinase 11B
CDC7_HUMAN	O00311	CDC7 (PSP)		CDC7		2.7.11.1	CDC7;CDC7L1	EC 2.7.11.1;Cell division cycle 7-related protein kinase;CDC7-related kinase;HsCdc7;huCdc7
CDK10_HUMAN	Q15131	CDK10 (PSP)		CDK10		2.7.11.22	CDK10	EC 2.7.11.22;Cyclin-dependent kinase 10;Cell division protein kinase 10;Serine/threonine-protein kinase PISSLRE;Isoform 7 of Cyclin-dependent kinase 10
CDK12_HUMAN	Q9NYV4	CDK12 (PSP)		CDK12		2.7.11.22;2.7.11.23	CDK12;CRK7;CRKRS;KIAA0904	"EC 2.7.11.22;2.7.11.23;Cyclin-dependent kinase 12;Cdc2-related kinase, arginine/serine-rich;CrkRS;Cell division cycle 2-related protein kinase 7;CDC2-related protein kinase 7;Cell division protein kinase 12;hCDK12"
CDK13_HUMAN	Q14004	CDK13 (PSP)		CDK13		2.7.11.22;2.7.11.23	CDK13;CDC2L;CDC2L5;CHED;KIAA1791	EC 2.7.11.22;Cyclin-dependent kinase 13;EC 2.7.11.23;CDC2-related protein kinase 5;Cell division cycle 2-like protein kinase 5;Cell division protein kinase 13;hCDK13;Cholinesterase-related cell division controller
CDK14_HUMAN	O94921	CDK14 (PSP)		CDK14		2.7.11.22	CDK14;KIAA0834;PFTK1	EC 2.7.11.22;Cyclin-dependent kinase 14;Cell division protein kinase 14;Serine/threonine-protein kinase PFTAIRE-1;hPFTAIRE1;Isoform 2 of Cyclin-dependent kinase 14
CDK16_HUMAN	Q00536	PCTAIRE1	PCTAIRE1	CDK16		2.7.11.22	CDK16;PCTAIRE1;PCTK1	EC 2.7.11.22;Cyclin-dependent kinase 16;Cell division protein kinase 16;PCTAIRE-motif protein kinase 1;Serine/threonine-protein kinase PCTAIRE-1
CDK18_HUMAN	Q07002	CDK18 (PSP)		CDK18		2.7.11.22	CDK18;PCTAIRE3;PCTK3	EC 2.7.11.22;Cyclin-dependent kinase 18;Cell division protein kinase 18;PCTAIRE-motif protein kinase 3;Serine/threonine-protein kinase PCTAIRE-3;Isoform 2 of Cyclin-dependent kinase 18
CDK19_HUMAN	Q9BWU1	CDK11	CDK11	CDK19		2.7.11.22	CDK19;CDC2L6;CDK11;KIAA1028	EC 2.7.11.22;Cyclin-dependent kinase 19;CDC2-related protein kinase 6;Cell division cycle 2-like protein kinase 6;Cell division protein kinase 19;Cyclin-dependent kinase 11;Death-preventing kinase
CDK1_HUMAN	P06493	CDK1	CDK1	CDK1	CDK2_CDK3_CDK1_CDK5_group	2.7.11.22;2.7.11.23	CDK1;CDC2;CDC28A;CDKN1;P34CDC2	CDK1;Cyclin-dependent kinase 1;2.7.11.22;2.7.11.23;Cell division control protein 2 homolog;Cell division protein kinase 1;p34 protein kinase;Isoform 2 of Cyclin-dependent kinase 1
CDK20_HUMAN	Q8IZL9	CDK20 (PSP)		CDK20		2.7.11.22	CDK20;CCRK;CDCH	EC 2.7.11.22;Cyclin-dependent kinase 20;CDK-activating kinase p42;CAK-kinase p42;Cell cycle-related kinase;Cell division protein kinase 20;Cyclin-dependent protein kinase H;Cyclin-kinase-activating kinase p42;Isoform 2 of Cyclin-dependent kinase 20
CDK2_HUMAN	P24941	CDK2	CDK2	CDK2	CDK2_CDK3_CDK1_CDK5_group	2.7.11.22	CDK2;CDKN2	2.7.11.22;Cyclin-dependent kinase 2;Cell division protein kinase 2;p33 protein kinase
CDK3_HUMAN	Q00526	CDK3	CDK3	CDK3	CDK2_CDK3_CDK1_CDK5_group	2.7.11.22	CDK3;CDKN3	EC 2.7.11.22;Cyclin-dependent kinase 3;Cell division protein kinase 3
CDK4_HUMAN	P11802	CDK4	CDK4	CDK4	CDK4_CDK6_group	2.7.11.22	CDK4	EC 2.7.11.22;Cyclin-dependent kinase 4;Cell division protein kinase 4;PSK-J3;Isoform 2 of Cyclin-dependent kinase 4
CDK5_HUMAN	Q00535	CDK5	CDK5	CDK5	CDK2_CDK3_CDK1_CDK5_group	2.7.11.1	CDK5;CDKN5;PSSALRE	EC 2.7.11.1;Cyclin-dependent kinase 5;Cell division protein kinase 5;Cyclin-dependent-like kinase 5;Serine/threonine-protein kinase PSSALRE;Tau protein kinase II catalytic subunit;TPKII catalytic subunit
CDK6_HUMAN	Q00534	CDK6	CDK6	CDK6	CDK4_CDK6_group	2.7.11.22	CDK6;CDKN6	EC 2.7.11.22;Cyclin-dependent kinase 6;Cell division protein kinase 6;Serine/threonine-protein kinase PLSTIRE
CDK7_HUMAN	P50613	CDK7	CDK7	CDK7	CDK7	2.7.11.22;2.7.11.23	CAK;STK1;CDK7;CAK1;CDKN7;MO15	EC 2.7.11.22;2.7.11.23;Cyclin-dependent kinase 7;39 kDa protein kinase;p39 Mo15;CDK-activating kinase 1;Cell division protein kinase 7;Serine/threonine-protein kinase 1;TFIIH basal transcription factor complex kinase subunit
CDK8_HUMAN	P49336	CDK8 (PSP)		CDK8		2.7.11.22;2.7.11.23	CDK8	EC 2.7.11.22;EC 2.7.11.23;Cyclin-dependent kinase 8;Cell division protein kinase 8;Mediator complex subunit CDK8;Mediator of RNA polymerase II transcription subunit CDK8;Protein kinase K35;Isoform 2 of Cyclin-dependent kinase 8
CDK9_HUMAN	P50750	CDK9	CDK9	CDK9		2.7.11.22;2.7.11.23	CDK9;CDC2L4;TAK	2.7.11.22;2.7.11.23;Cyclin-dependent kinase 9;C-2K;Cell division cycle 2-like protein kinase 4;Cell division protein kinase 9;Serine/threonine-protein kinase PITALRE;Tat-associated kinase complex catalytic subunit;Isoform 2 of Cyclin-dependent kinase 9
CDKL2_HUMAN	Q92772	CDKL2 (PSP)		CDKL2		2.7.11.22	CDKL2	EC 2.7.11.22;Cyclin-dependent kinase-like 2;Protein kinase p56 KKIAMRE;Serine/threonine-protein kinase KKIAMRE
CDKL5_HUMAN	O76039	CDKL5 (PSP)		CDKL5		2.7.11.22	CDKL5;STK9	EC 2.7.11.22;Cyclin-dependent kinase-like 5;Serine/threonine-protein kinase 9;Isoform 2 of Cyclin-dependent kinase-like 5
CERT_HUMAN	Q9Y5P4	COL4A3BP (PSP)		COL4A3BP			CERT1;CERT;COL4A3BP;STARD11	GPBP;Ceramide transfer protein;hCERT;Collagen type IV alpha-3-binding protein;Goodpasture antigen-binding protein;START domain-containing protein 11;StARD11;StAR-related lipid transfer protein 11;Isoform 3 of Ceramide transfer protein
CHK1_HUMAN	O14757	CHK1	CHK1	Chk1		2.7.11.1	CHEK1;CHK1	2.7.11.1;Serine/threonine-protein kinase Chk1;CHK1 checkpoint homolog;Cell cycle checkpoint kinase;Checkpoint kinase-1;Isoform 3 of Serine/threonine-protein kinase Chk1
CHK2_HUMAN	O96017	CHK2	CHK2	Chk2		2.7.11.1	CHEK2;CDS1;CHK2;RAD53	EC 2.7.11.1;Serine/threonine-protein kinase Chk2;CHK2 checkpoint homolog;Cds1 homolog;Hucds1;hCds1;Checkpoint kinase 2;Isoform 9 of Serine/threonine-protein kinase Chk2
CILK1_HUMAN	Q9UPZ9	ICK	ICK	ICK	RCK_group	2.7.11.1	CILK1;ICK;KIAA0936	2.7.11.1;MRK;Serine/threonine-protein kinase ICK;Ciliogenesis associated kinase 1;Intestinal cell kinase;hICK;Laryngeal cancer kinase 2;LCK2;MAK-related kinase
CLK1_HUMAN	P49759	CLK1	CLK1	CLK1	CLK_group	2.7.12.1	CLK1;CLK	EC 2.7.12.1;Dual specificity protein kinase CLK1;CDC-like kinase 1;Isoform 2 of Dual specificity protein kinase CLK1
CLK2_HUMAN	P49760	CLK2 (NetworKIN)	CLK2	CLK2	CLK_group	2.7.12.1	CLK2	Dual specificity protein kinase CLK2;EC 2.7.12.1;CDC-like kinase 2;Isoform 2 of Dual specificity protein kinase CLK2
CLK3_HUMAN	P49761	CLK3 (NetworKIN)	CLK3	CLK3	CLK_group	2.7.12.1	CLK3	EC 2.7.12.1;Dual specificity protein kinase CLK3;CDC-like kinase 3;Isoform 1 of Dual specificity protein kinase CLK3
CLK4_HUMAN	Q9HAZ1	CLK4 (NetworKIN)	CLK4	CLK4	CLK_group	2.7.12.1	CLK4	EC 2.7.12.1;Dual specificity protein kinase CLK4;CDC-like kinase 4
CSF1R_HUMAN	P07333	CSF1R	CSF1R	CSFR	FLT3_CSF1R_Kit_PDGFR_group	2.7.10.1	CSF1R;FMS	EC 2.7.10.1;Macrophage colony-stimulating factor 1 receptor;CSF-1 receptor;CSF-1-R;CSF-1R;M-CSF-R;Proto-oncogene c-Fms;CD115;Isoform 2 of Macrophage colony-stimulating factor 1 receptor
CSK21_HUMAN	P68400	CK2_alpha	CK2alpha	CK2A1	CK2_group	2.7.11.1	CSNK2A1;CK2A1	2.7.11.1;Casein kinase II subunit alpha;CK II alpha
CSK22_HUMAN	P19784	CK2a2 (NetworKIN)	CK2a2	CK2A2	CK2_group	2.7.11.1	CSNK2A2;CK2A2	EC 2.7.11.1;Casein kinase II subunit alpha';CK II alpha'
CSK2B_HUMAN	P67870	CK2_beta	CK2_beta	CK2B			CSNK2B;CK2N;G5A	Casein kinase II subunit beta;CK II beta;Phosvitin;Protein G5a
CSKP_HUMAN	O14936	CASK (PSP)		CASK		2.7.11.1	CASK;LIN2	2.7.11.1;Peripheral plasma membrane protein CASK;hCASK;Calcium/calmodulin-dependent serine protein kinase;Protein lin-2 homolog
CSK_HUMAN	P41240	Csk	Csk	CSK		2.7.10.2	CSK	2.7.10.2;Tyrosine-protein kinase CSK;C-Src kinase;Protein-tyrosine kinase CYL
CTRO_HUMAN	O14578	CRIK (PSP)		CRIK		2.7.11.1	CIT;CRIK;KIAA0949;STK21	2.7.11.1;CRIK;Citron Rho-interacting kinase;Serine/threonine-protein kinase 21;Isoform 2 of Citron Rho-interacting kinase
DAPK1_HUMAN	P53355	DAPK1	DAPK1	DAPK1	DAPK_group	2.7.11.1	DAPK1;DAPK	EC 2.7.11.1;Death-associated protein kinase 1;DAP kinase 1
DAPK2_HUMAN	Q9UIK4	DAPK2	DAPK2	DAPK2	DAPK_group	2.7.11.1	DAPK2	2.7.11.1;Death-associated protein kinase 2;DAP kinase 2;DAP-kinase-related protein 1;DRP-1;Isoform 2 of Death-associated protein kinase 2
DAPK3_HUMAN	O43293	DAPK3	DAPK3	DAPK3	DAPK_group	2.7.11.1	DAPK3;ZIPK	2.7.11.1;Death-associated protein kinase 3;DAP kinase 3;DAP-like kinase;Dlk;MYPT1 kinase;Zipper-interacting protein kinase;ZIP-kinase
DCLK1_HUMAN	O15075	DCAMKL1	DCAMKL1			2.7.11.1	DCLK1;DCAMKL1;DCDC3A;KIAA0369	EC 2.7.11.1;Serine/threonine-protein kinase DCLK1;Doublecortin domain-containing protein 3A;Doublecortin-like and CAM kinase-like 1;Doublecortin-like kinase 1;Isoform 4 of Serine/threonine-protein kinase DCLK1
DDR1_HUMAN	Q08345	DDR1 (PSP)		DDR1		2.7.10.1	NEP;DDR1;CAK;EDDR1;NTRK4;PTK3A;RTK6;TRKE	EC 2.7.10.1;Epithelial discoidin domain-containing receptor 1;Epithelial discoidin domain receptor 1;CD167 antigen-like family member A;Cell adhesion kinase;Discoidin receptor tyrosine kinase;HGK2;Mammary carcinoma kinase 10;MCK-10;Protein-tyrosine kinase 3A;Protein-tyrosine kinase RTK-6;TRK E;Tyrosine kinase DDR;Tyrosine-protein kinase CAK;CD167a
DMPK_HUMAN	Q09013	DMPK_group	DMPK1	DMPK1	DMPK_group	2.7.11.1	DMPK;DM1PK;MDPK	EC 2.7.11.1;DMPK;Myotonin-protein kinase;MT-PK;DM-kinase;DMK;DM1 protein kinase;Myotonic dystrophy protein kinase;Isoform 3 of Myotonin-protein kinase
DYR1A_HUMAN	Q13627	DYRK1A	DYRK1A	DYRK1A		2.7.12.1	DYRK1A;DYRK;MNB;MNBH	MNBH;Dual specificity tyrosine-phosphorylation-regulated kinase 1A;2.7.12.1;Dual specificity YAK1-related kinase;HP86;Protein kinase minibrain homolog;hMNB;Isoform 4 of Dual specificity tyrosine-phosphorylation-regulated kinase 1A
DYR1B_HUMAN	Q9Y463	DYRK1B	DYRK1B	DYRK1B		2.7.12.1	DYRK1B;MIRK	2.7.12.1;Dual specificity tyrosine-phosphorylation-regulated kinase 1B;Minibrain-related kinase;Mirk protein kinase
DYRK2_HUMAN	Q92630	DYRK2	DYRK2	DYRK2		2.7.12.1	DYRK2	2.7.12.1;Dual specificity tyrosine-phosphorylation-regulated kinase 2;Isoform 2 of Dual specificity tyrosine-phosphorylation-regulated kinase 2
DYRK3_HUMAN	O43781	DYRK3	DYRK3	DYRK3		2.7.12.1	DYRK3	2.7.12.1;Dual specificity tyrosine-phosphorylation-regulated kinase 3;Regulatory erythroid kinase;REDK
DYRK4_HUMAN	Q9NR20	DYRK4 (PSP)		DYRK4		2.7.12.1	DYRK4	EC 2.7.12.1;Dual specificity tyrosine-phosphorylation-regulated kinase 4
E2AK1_HUMAN	Q9BQI3	HRI	HRI	HRI		2.7.11.1	EIF2AK1;HRI;PRO1362	2.7.11.1;Eukaryotic translation initiation factor 2-alpha kinase 1;Heme-controlled repressor;HCR;Heme-regulated eukaryotic initiation factor eIF-2-alpha kinase;Heme-regulated inhibitor;hHRI;Hemin-sensitive initiation factor 2-alpha kinase;Isoform 2 of Eukaryotic translation initiation factor 2-alpha kinase 1
